 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
unfathered 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 0.0111017012071 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unhappily 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 0.0215948532926 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unkindness 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.51606286389e-15 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 1.94494993726e-94 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 0.0432518883752 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unlearned 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 0.0212803479844 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 4.5219757157e-08 3.78557124575e-102 3.06970331875e-102 1.93958705286e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unless 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599876325e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 3.5603737606e-84 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436836e-102 3.78557124575e-102 3.06970331875e-102 0.0193958703774 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unlooked 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 0.0166599872172 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unmoved 5.3051127448e-102 0.010935895388 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703775e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unprovident 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 0.015873015873 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unrespected 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 0.0140962548029 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 1.8775639846e-87 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unswept 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 0.010935895388 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
unto 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803866e-102 6.13359632872e-102 2.52613197801e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 0.0163934473591 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
up 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 0.03125 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 8.9663860131e-47 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 0.0491803420773 4.31960620943e-102 5.89516085287e-102 0.0555555538199
upon 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 0.0622243803808 6.13359632872e-102 2.52613197799e-102 0.0436941988166 1.28774889718e-08 0.0266626343199 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 6.43853612464e-08 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 7.0747669523e-64 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 8.35281129511e-49 2.99273435419e-102 8.33861496218e-45 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 0.153846202136 5.28829672099e-102 7.50432004471e-42 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 4.2370610644e-71 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970353739e-102 0.05818759614 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.32159114547e-102 5.89516085287e-102 5.55555538199e-102
urge 5.3051127448e-102 1.0935895388e-102 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 3.125e-102 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 0.015873015873 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.02925727498e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703774e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
use 5.3051127448e-102 0.010935895388 1e-101 1e-101 1.25e-101 2.1280361892e-102 4.03956582502e-102 1.11017012071e-102 6.22243803808e-102 6.13359632872e-102 2.52613197799e-102 4.36942331637e-102 1.66599872172e-102 2.66626343199e-102 2.85755902644e-102 3.65235610538e-102 5.0000001021e-102 5.55280707293e-102 7.59268448435e-102 8.19070502903e-102 4.7910748963e-102 0.03125 1.9622294117e-102 2.15948532926e-102 6.24480771374e-102 5.54594028064e-102 4.32518883752e-102 1.0935895388e-102 6.66650597985e-102 1.5873015873e-102 2.53968259541e-102 5.2643855569e-102 3.00137155095e-102 6.15653101813e-102 4.97931530596e-102 5.88234803137e-102 6.37851340974e-102 2.99273435419e-102 1.75774607956e-102 1.25e-101 2.52005063968e-102 3.2662249242e-102 4.26544194899e-102 3.85177040774e-102 3.90828259399e-102 6.02469592005e-102 1.40962548029e-102 3.02857139734e-102 4.54544194512e-102 6.25230606004e-102 3.84615505341e-102 5.28829672099e-102 5.25016334084e-102 4.37749524968e-102 1.92366648798e-102 1.60493677147e-102 9.0292572761e-102 4.5472297382e-102 2.79906769308e-102 5.89867024234e-102 8.40339015067e-102 6.55958608376e-102 2.52543951784e-102 4.94090220483e-102 1.66666623769e-101 6.91920436835e-102 3.78557124575e-102 3.06970331875e-102 1.93958703775e-102 3.42974937814e-102 5.36159482141e-102 1.00000599775e-101 2.15948532926e-102 4e-102 5.26315789474e-102 3.68933785024e-102 1.63934473591e-102 4.31960620943e-102 5.89516085287e-102 5.55555538199e-102
